painting_name,artist,price,description,painting_jpg
Lakeside,Samagya Sharma,1000,Watercolor on paper,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/Lakeside.jpeg
Blooming Flowers,Samagya Sharma,500,Acrylic on Canvas,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/Blooming%20Flowers.jpeg
Mystery,Samagya Sharma,1000,Mixed media,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/Mystery.jpeg
Holi,Samagya Sharma,1000,Watercolor on paper,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/potrait_holi.jpg
Beagle,Samagya Sharma,500,Acrylic on Canvas,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/study_dog.jpg
Flowers,Samagya Sharma,1000,Mixed media,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/flower_study.jpg
Sunsetz,Samagya Sharma,1000,Watercolor on paper,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/landscape_sunset.jpg
Into your eyes,Samagya Sharma,500,Acrylic on Canvas,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/geometric_comp.jpg
Marilyn Monroe,Samagya Sharma,1000,Mixed media,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/marilyn_monroe.jpg
