painting_name,artist,price,description,painting_jpg
Lakeside,Samagya Sharma,1000,Watercolor on paper,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/Lakeside.jpeg
Blooming Flowers,Samagya Sharma,500,Acrylic on Canvas,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/Blooming%20Flowers.jpeg
Mystery,Samagya Sharma,1000,Mixed media,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/Mystery.jpeg
Ulquiorra,Mridul Mahindra,1000,Sketch,https://raw.githubusercontent.com/samagyasharma/art_gallery_application/main/Mystery.jpeg
